date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2025-09-02,1524.15,21.12,1.4,620.85,40.7,85.56,5.6,1503.03,98.6,green,unknown,unknown,unknown,1524.15,0.0,21.12,0.0,1.4,,98.6,,535.28,0.0,85.56,35.1,,unknown,unknown,unknown,unknown,0,,
2025-09-03,1323.45,40.23,3.0,776.44,58.7,89.2,6.7,1283.22,97.0,green,unknown,unknown,unknown,1323.45,0.0,40.23,0.0,3.0,,97.0,,687.24,0.0,89.2,51.9,,unknown,unknown,unknown,unknown,0,,
2025-09-04,1864.85,37.54,2.0,666.35,35.7,83.62,4.5,1827.31,98.0,green,unknown,unknown,unknown,1864.85,0.0,37.54,0.0,2.0,,98.0,,582.73,0.0,83.62,31.2,,unknown,unknown,unknown,unknown,0,,
2025-09-05,3977.79,25.64,0.6,1305.41,32.8,251.24,6.3,3952.15,99.4,green,unknown,unknown,unknown,3977.79,0.0,25.64,0.0,0.6,,99.4,,1054.17,0.0,251.24,26.5,,unknown,unknown,unknown,unknown,0,,
2025-09-06,3993.45,170.41,4.3,1369.98,34.3,262.38,6.6,3823.04,95.7,green,unknown,unknown,unknown,3993.45,0.0,170.41,0.0,4.3,,95.7,,1107.6,0.0,262.38,27.7,,unknown,unknown,unknown,unknown,0,,
2025-09-07,1977.86,40.43,2.0,904.36,45.7,220.17,11.1,1937.43,98.0,green,unknown,unknown,unknown,1977.86,0.0,40.43,0.0,2.0,,98.0,,684.19,0.0,220.17,34.6,,unknown,unknown,unknown,unknown,0,,
2025-09-09,1103.35,31.45,2.9,749.89,68.0,82.62,7.5,1071.9,97.1,green,unknown,unknown,unknown,1103.35,0.0,31.45,0.0,2.9,,97.1,,667.27,0.0,82.62,60.5,,unknown,unknown,unknown,unknown,0,,
2025-09-10,708.11,17.45,2.5,658.41,93.0,66.9,9.4,690.66,97.5,green,unknown,unknown,unknown,708.11,0.0,17.45,0.0,2.5,,97.5,,591.51,0.0,66.9,83.5,,unknown,unknown,unknown,unknown,0,,
2025-09-11,1604.5,36.72,2.3,752.11,46.9,78.05,4.9,1567.78,97.7,green,unknown,unknown,unknown,1604.5,0.0,36.72,0.0,2.3,,97.7,,674.06,0.0,78.05,42.0,,unknown,unknown,unknown,unknown,0,,
2025-09-12,4240.0,115.45,2.7,1491.94,35.2,247.11,5.8,4124.55,97.3,green,unknown,unknown,unknown,4240.0,0.0,115.45,0.0,2.7,,97.3,,1244.83,0.0,247.11,29.4,,unknown,unknown,unknown,unknown,0,,
2025-09-13,3933.79,59.77,1.5,1569.78,39.9,246.47,6.3,3874.02,98.5,green,unknown,unknown,unknown,3933.79,0.0,59.77,0.0,1.5,,98.5,,1323.31,0.0,246.47,33.6,,unknown,unknown,unknown,unknown,0,,
2025-09-14,2234.61,20.64,0.9,1070.69,47.9,205.2,9.2,2213.97,99.1,green,unknown,unknown,unknown,2234.61,0.0,20.64,0.0,0.9,,99.1,,865.5,0.0,205.2,38.7,,unknown,unknown,unknown,unknown,0,,
2025-09-16,814.12,37.63,4.6,721.62,88.6,70.56,8.7,776.49,95.4,green,unknown,unknown,unknown,814.12,0.0,37.63,0.0,4.6,,95.4,,651.06,0.0,70.56,80.0,,unknown,unknown,unknown,unknown,0,,
2025-09-17,1126.47,18.11,1.6,723.95,64.3,78.04,6.9,1108.36,98.4,green,unknown,unknown,unknown,1126.47,0.0,18.11,0.0,1.6,,98.4,,645.91,0.0,78.04,57.3,,unknown,unknown,unknown,unknown,0,,
2025-09-18,1742.02,12.58,0.7,734.58,42.2,72.47,4.2,1729.44,99.3,green,unknown,unknown,unknown,1742.02,0.0,12.58,0.0,0.7,,99.3,,662.11,0.0,72.47,38.0,,unknown,unknown,unknown,unknown,0,,
2025-09-19,4550.97,83.83,1.8,925.52,20.3,157.32,3.5,4467.14,98.2,green,unknown,unknown,unknown,4550.97,0.0,83.83,0.0,1.8,,98.2,,768.2,0.0,157.32,16.9,,unknown,unknown,unknown,unknown,0,,
2025-09-20,3701.33,127.91,3.5,1504.87,40.7,186.87,5.0,3573.42,96.5,green,unknown,unknown,unknown,3701.33,0.0,127.91,0.0,3.5,,96.5,,1318.0,0.0,186.87,35.6,,unknown,unknown,unknown,unknown,0,,
