date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,eatclub_giveaway_ex_gst,eatclub_covers,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2024-11-06,5878.34,490.61,8.3,0,0.0,,,5387.73,91.7,,,green,unknown,n/a,unknown,2804.12,3074.22,0.00,490.61,0.0,16.0,100.0,84.0,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-07,7360.63,639.64,8.7,0,0.0,,,6720.99,91.3,,,green,unknown,n/a,unknown,3062.44,4298.19,0.00,639.64,0.0,14.9,100.0,85.1,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-08,12992.20,1760.44,13.5,0,0.0,,,11231.76,86.5,,,green,unknown,n/a,unknown,3248.30,9743.90,0.00,1760.44,0.0,18.1,100.0,81.9,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-09,12130.70,1315.88,10.8,0,0.0,,,10814.82,89.2,,,green,unknown,n/a,unknown,3700.74,8429.96,0.00,1315.88,0.0,15.6,100.0,84.4,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-10,10520.00,1113.87,10.6,0,0.0,,,9406.13,89.4,,,green,unknown,n/a,unknown,3941.74,6578.26,0.00,1113.87,0.0,16.9,100.0,83.1,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-12,4127.85,461.12,11.2,0,0.0,,,3666.73,88.8,,,green,unknown,n/a,unknown,1744.44,2383.41,0.00,461.12,0.0,19.3,100.0,80.7,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-13,6691.47,723.03,10.8,0,0.0,,,5968.44,89.2,,,green,unknown,n/a,unknown,2739.04,3952.43,0.00,723.03,0.0,18.3,100.0,81.7,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-14,6589.86,839.63,12.7,0,0.0,,,5750.23,87.3,,,green,unknown,n/a,unknown,2021.06,4568.80,0.00,839.63,0.0,18.4,100.0,81.6,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-15,10858.95,1401.52,12.9,0,0.0,,,9457.43,87.1,,,green,unknown,n/a,unknown,2303.33,8555.62,0.00,1401.52,0.0,16.4,100.0,83.6,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-16,12510.11,1483.54,11.9,0,0.0,,,11026.57,88.1,,,green,unknown,n/a,unknown,2978.31,9531.80,0.00,1483.54,0.0,15.6,100.0,84.4,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
